category_eng,month,total_sales,market_avg_price,seller_count,market_avg_sales
costruction_tools_garden,2017-06,4,108.67250000000001,3,1.3333333333333333
costruction_tools_garden,2017-07,8,43.447500000000005,4,2.0
costruction_tools_garden,2017-08,10,128.619,7,1.4285714285714286
costruction_tools_garden,2017-09,6,49.583333333333336,4,1.5
costruction_tools_garden,2017-10,9,82.98888888888888,4,2.25
costruction_tools_garden,2017-11,17,71.67647058823529,6,2.8333333333333335
costruction_tools_garden,2017-12,6,154.81666666666666,3,2.0
costruction_tools_garden,2018-01,24,163.66583333333332,6,4.0
costruction_tools_garden,2018-02,21,74.65238095238095,5,4.2
costruction_tools_garden,2018-03,24,105.06791666666668,8,3.0
costruction_tools_garden,2018-04,18,73.71055555555556,7,2.5714285714285716
costruction_tools_garden,2018-05,16,67.08,8,2.0
costruction_tools_garden,2018-06,11,72.67636363636365,3,3.6666666666666665
costruction_tools_garden,2018-07,25,78.25880000000001,10,2.5
costruction_tools_garden,2018-08,23,160.3808695652174,10,2.3
costruction_tools_tools,2017-04,1,729.0,1,1.0
costruction_tools_tools,2017-05,2,401.95,2,1.0
costruction_tools_tools,2017-09,3,305.63,3,1.0
costruction_tools_tools,2017-10,5,203.72,3,1.6666666666666667
costruction_tools_tools,2017-11,5,53.9,1,5.0
costruction_tools_tools,2017-12,6,58.23333333333333,1,6.0
costruction_tools_tools,2018-01,8,66.5375,3,2.6666666666666665
costruction_tools_tools,2018-02,12,109.85000000000001,3,4.0
costruction_tools_tools,2018-03,9,103.47777777777777,4,2.25
costruction_tools_tools,2018-04,17,78.41117647058823,7,2.4285714285714284
costruction_tools_tools,2018-05,5,83.58,2,2.5
costruction_tools_tools,2018-06,4,131.75,2,2.0
costruction_tools_tools,2018-07,12,458.43333333333334,8,1.5
costruction_tools_tools,2018-08,14,89.69785714285715,11,1.2727272727272727
diapers_and_hygiene,2016-10,1,134.9,1,1.0
diapers_and_hygiene,2017-12,2,38.0,1,2.0
diapers_and_hygiene,2018-01,5,25.0,1,5.0
diapers_and_hygiene,2018-02,4,25.0,1,4.0
diapers_and_hygiene,2018-03,6,27.166666666666668,1,6.0
diapers_and_hygiene,2018-04,4,37.25,3,1.3333333333333333
diapers_and_hygiene,2018-05,3,39.0,2,1.5
diapers_and_hygiene,2018-06,7,45.857142857142854,3,2.3333333333333335
diapers_and_hygiene,2018-07,4,37.45,2,2.0
diapers_and_hygiene,2018-08,3,77.29666666666667,2,1.5
drinks,2017-03,5,92.774,3,1.6666666666666667
drinks,2017-04,7,28.56142857142857,1,7.0
drinks,2017-05,1,90.0,1,1.0
drinks,2017-06,1,49.99,1,1.0
drinks,2017-07,3,91.32333333333334,1,3.0
drinks,2017-08,2,59.95,2,1.0
drinks,2017-09,8,40.99625,3,2.6666666666666665
drinks,2017-10,12,49.748333333333335,1,12.0
drinks,2017-11,23,35.90478260869565,5,4.6
drinks,2017-12,34,62.73058823529412,5,6.8
drinks,2018-01,52,44.37711538461539,6,8.666666666666666
drinks,2018-02,32,61.4825,5,6.4
drinks,2018-03,21,45.84285714285714,6,3.5
drinks,2018-04,54,92.89703703703705,10,5.4
drinks,2018-05,48,58.14541666666667,9,5.333333333333333
drinks,2018-06,33,47.486969696969695,6,5.5
drinks,2018-07,17,78.53941176470589,10,1.7
drinks,2018-08,30,49.241,10,3.0
dvds_blu_ray,2017-01,2,14.9,1,2.0
dvds_blu_ray,2017-02,1,14.9,1,1.0
dvds_blu_ray,2017-03,5,374.74,3,1.6666666666666667
dvds_blu_ray,2017-04,2,717.45,2,1.0
dvds_blu_ray,2017-05,4,22.4,1,4.0
dvds_blu_ray,2017-06,4,31.6725,1,4.0
dvds_blu_ray,2017-07,4,187.42499999999998,2,2.0
dvds_blu_ray,2017-08,6,18.9,1,6.0
dvds_blu_ray,2017-09,2,19.9,1,2.0
dvds_blu_ray,2017-10,5,38.9,1,5.0
dvds_blu_ray,2017-11,3,26.596666666666664,2,1.5
dvds_blu_ray,2017-12,1,119.9,1,1.0
dvds_blu_ray,2018-01,2,24.9,1,2.0
dvds_blu_ray,2018-02,1,24.9,1,1.0
dvds_blu_ray,2018-03,2,24.9,1,2.0
dvds_blu_ray,2018-04,5,18.5,2,2.5
dvds_blu_ray,2018-05,7,62.848571428571425,3,2.3333333333333335
dvds_blu_ray,2018-06,6,63.81333333333333,4,1.5
dvds_blu_ray,2018-07,1,83.99,1,1.0
dvds_blu_ray,2018-08,1,8.9,1,1.0
electronics,2016-10,2,653.495,2,1.0
electronics,2017-01,11,56.09090909090909,6,1.8333333333333333
electronics,2017-02,19,64.14999999999999,10,1.9
electronics,2017-03,37,107.72972972972973,17,2.176470588235294
electronics,2017-04,48,100.46333333333332,16,3.0
electronics,2017-05,68,98.66338235294117,16,4.25
electronics,2017-06,42,50.00095238095238,14,3.0
electronics,2017-07,97,75.74061855670104,19,5.105263157894737
electronics,2017-08,56,50.96696428571429,14,4.0
electronics,2017-09,67,64.76059701492538,22,3.0454545454545454
electronics,2017-10,63,54.83047619047618,16,3.9375
electronics,2017-11,184,54.48989130434782,28,6.571428571428571
electronics,2017-12,210,40.654809523809526,23,9.130434782608695
electronics,2018-01,352,45.814147727272726,31,11.35483870967742
electronics,2018-02,332,44.51987951807229,36,9.222222222222221
electronics,2018-03,261,48.10268199233716,31,8.419354838709678
electronics,2018-04,214,51.50668224299066,32,6.6875
electronics,2018-05,235,72.2948510638298,37,6.351351351351352
electronics,2018-06,191,50.59984293193717,38,5.026315789473684
electronics,2018-07,159,70.13050314465409,44,3.6136363636363638
electronics,2018-08,120,89.74558333333333,45,2.6666666666666665
fashio_female_clothing,2016-10,1,54.9,1,1.0
fashio_female_clothing,2017-01,2,38.65,1,2.0
fashio_female_clothing,2017-02,4,114.45,3,1.3333333333333333
fashio_female_clothing,2017-03,1,19.9,1,1.0
fashio_female_clothing,2017-04,1,64.9,1,1.0
fashio_female_clothing,2017-05,5,84.48,3,1.6666666666666667
fashio_female_clothing,2017-06,3,51.6,3,1.0
fashio_female_clothing,2017-07,5,75.32000000000001,2,2.5
fashio_female_clothing,2017-08,4,47.175,2,2.0
fashio_female_clothing,2017-09,4,88.925,3,1.3333333333333333
fashio_female_clothing,2017-11,4,24.945,2,2.0
fashio_female_clothing,2018-01,3,53.93000000000001,2,1.5
fashio_female_clothing,2018-02,1,29.99,1,1.0
fashio_female_clothing,2018-03,4,29.99,1,4.0
fashio_female_clothing,2018-04,5,34.99,1,5.0
fashio_female_clothing,2018-08,3,43.32333333333333,1,3.0
fashion_bags_accessories,2016-10,9,56.47777777777778,5,1.8
fashion_bags_accessories,2016-12,1,10.9,1,1.0
fashion_bags_accessories,2017-01,35,47.77057142857143,7,5.0
fashion_bags_accessories,2017-02,41,59.36365853658536,13,3.1538461538461537
fashion_bags_accessories,2017-03,68,71.48764705882353,18,3.7777777777777777
